BdiBd21-3.1G0000200.1	Bradi1g00200
BdiBd21-3.1G0007900.1	Bradi1g00666
BdiBd21-3.1G0008000.1	Bradi1g00672
BdiBd21-3.1G0008100.1	Bradi1g00678
BdiBd21-3.1G0008100.2	Bradi1g00678
BdiBd21-3.1G0008200.1	Bradi1g00690
BdiBd21-3.1G0008300.1	Bradi1g00700
BdiBd21-3.1G0008300.2	Bradi1g00700
BdiBd21-3.1G0008300.3	Bradi1g00700
BdiBd21-3.1G0008300.4	Bradi1g00700
BdiBd21-3.1G0008300.5	Bradi1g00700
BdiBd21-3.1G0008300.6	Bradi1g00700
BdiBd21-3.1G0008400.1	Bradi1g00710
BdiBd21-3.1G0008400.2	Bradi1g00710
BdiBd21-3.1G0008500.1	Bradi1g00720
BdiBd21-3.1G0008500.2	Bradi1g00720
BdiBd21-3.1G0008500.3	Bradi1g00720
BdiBd21-3.1G0008500.4	Bradi1g00720
BdiBd21-3.1G0008600.1	Bradi1g00740
BdiBd21-3.1G0008600.2	Bradi1g00740
BdiBd21-3.1G0008700.1	Bradi1g00750
BdiBd21-3.1G0008800.1	Bradi1g00760
BdiBd21-3.1G0008800.2	Bradi1g00760
BdiBd21-3.1G0008800.3	Bradi1g00760
BdiBd21-3.1G0009000.1	Bradi1g00770
BdiBd21-3.1G0009100.1	Bradi1g00780
BdiBd21-3.1G0009200.1	Bradi1g00785
BdiBd21-3.1G0009300.1	Bradi1g00790
BdiBd21-3.1G0009400.1	Bradi1g00800
BdiBd21-3.1G0009500.1	Bradi1g00807
BdiBd21-3.1G0009600.1	Bradi1g00820
BdiBd21-3.1G0009700.1	Bradi1g00830
BdiBd21-3.1G0009800.1	Bradi1g00840
BdiBd21-3.1G0009900.1	Bradi1g00847
BdiBd21-3.1G0010000.1	Bradi1g00860
BdiBd21-3.1G0010000.2	Bradi1g00860
BdiBd21-3.1G0010000.3	Bradi1g00860
BdiBd21-3.1G0010100.1	Bradi1g00867
BdiBd21-3.1G0010200.1	Bradi1g00880
BdiBd21-3.1G0010300.1	Bradi1g00887
BdiBd21-3.1G0010300.2	Bradi1g00887
BdiBd21-3.1G0010300.3	Bradi1g00887
BdiBd21-3.1G0010400.1	Bradi1g00900
BdiBd21-3.1G0010400.2	Bradi1g00900
BdiBd21-3.1G0010500.1	Bradi1g00910
BdiBd21-3.1G0010500.2	Bradi1g00910
BdiBd21-3.1G0010600.1	Bradi1g00920
BdiBd21-3.1G0010700.1	Bradi1g00931
BdiBd21-3.1G0010700.2	Bradi1g00931
BdiBd21-3.1G0010800.1	Bradi1g00940
BdiBd21-3.1G0010900.1	Bradi1g00950
BdiBd21-3.1G0011000.1	Bradi1g00960
BdiBd21-3.1G0011100.1	Bradi1g00970
BdiBd21-3.1G0011200.1	Bradi1g00980
BdiBd21-3.1G0011300.1	Bradi1g00990
BdiBd21-3.1G0011400.1	Bradi1g01000
BdiBd21-3.1G0011500.1	Bradi1g01007
BdiBd21-3.1G0011600.1	Bradi1g01014
BdiBd21-3.1G0011700.1	Bradi1g01021
BdiBd21-3.1G0011800.1	Bradi1g01040
BdiBd21-3.1G0011900.1	Bradi1g01047
BdiBd21-3.1G0012000.1	Bradi1g01058
BdiBd21-3.1G0012100.1	Bradi1g01070
BdiBd21-3.1G0012200.1	Bradi1g01075
BdiBd21-3.1G0012300.1	Bradi1g01080
BdiBd21-3.1G0012400.1	Bradi1g01090
BdiBd21-3.1G0012400.2	Bradi1g01090
BdiBd21-3.1G0012400.3	Bradi1g01090
BdiBd21-3.1G0012500.1	Bradi1g01100
BdiBd21-3.1G0012600.1	Bradi1g01110
BdiBd21-3.1G0012700.1	Bradi1g01120
BdiBd21-3.1G0012800.1	Bradi1g01130
BdiBd21-3.1G0012800.2	Bradi1g01130
BdiBd21-3.1G0012800.3	Bradi1g01130
BdiBd21-3.1G0012900.1	Bradi1g01140
BdiBd21-3.1G0013000.1	Bradi1g01150
BdiBd21-3.1G0013100.1	Bradi1g01160
BdiBd21-3.1G0013200.1	Bradi1g01170
BdiBd21-3.1G0013200.2	Bradi1g01170
BdiBd21-3.1G0013200.3	Bradi1g01170
BdiBd21-3.1G0013200.4	Bradi1g01170
BdiBd21-3.1G0013300.1	Bradi1g01172
BdiBd21-3.1G0013400.1	Bradi1g01174
BdiBd21-3.1G0013500.1	Bradi1g01176
BdiBd21-3.1G0013600.1	Bradi1g01178
BdiBd21-3.1G0013700.1	Bradi1g01180
BdiBd21-3.1G0013800.1	Bradi1g01190
BdiBd21-3.1G0013900.1	Bradi1g01200
BdiBd21-3.1G0014000.1	Bradi1g01210
BdiBd21-3.1G0014000.2	Bradi1g01210
BdiBd21-3.1G0014000.3	Bradi1g01210
BdiBd21-3.1G0014000.4	Bradi1g01210
BdiBd21-3.1G0014100.1	Bradi1g01220
BdiBd21-3.1G0014200.1	Bradi1g01227
BdiBd21-3.1G0014500.1	Bradi1g01250
BdiBd21-3.1G0014500.2	Bradi1g01250
BdiBd21-3.1G0014600.1	Bradi1g01257
BdiBd21-3.1G0014700.1	Bradi1g01270
BdiBd21-3.1G0014800.1	Bradi1g01280
BdiBd21-3.1G0014900.1	Bradi1g01290
BdiBd21-3.1G0015000.1	Bradi1g01300
BdiBd21-3.1G0015100.1	Bradi1g01310
BdiBd21-3.1G0015200.1	Bradi1g01320
BdiBd21-3.1G0015300.1	Bradi1g01330
BdiBd21-3.1G0015300.2	Bradi1g01330
BdiBd21-3.1G0015300.3	Bradi1g01330
BdiBd21-3.1G0015300.4	Bradi1g01330
BdiBd21-3.1G0015400.1	Bradi1g01332
BdiBd21-3.1G0015500.1	Bradi1g01334
BdiBd21-3.1G0015600.1	Bradi1g01336
BdiBd21-3.1G0015800.1	Bradi1g01342
BdiBd21-3.1G0016100.1	Bradi1g01363
BdiBd21-3.1G0016200.1	Bradi1g01368
BdiBd21-3.1G0017100.1	Bradi1g01387
BdiBd21-3.1G0017300.1	Bradi1g01397
BdiBd21-3.1G0017400.1	Bradi1g01407
BdiBd21-3.1G0017500.1	Bradi1g01420
BdiBd21-3.1G0017800.1	Bradi1g01442
BdiBd21-3.1G0017900.1	Bradi1g01450
BdiBd21-3.1G0018000.1	Bradi1g01455
BdiBd21-3.1G0018100.1	Bradi1g01460
BdiBd21-3.1G0018300.1	Bradi1g01470
BdiBd21-3.1G0018400.1	Bradi1g01480
BdiBd21-3.1G0018500.1	Bradi1g01487
BdiBd21-3.1G0018500.2	Bradi1g01487
BdiBd21-3.1G0018600.1	Bradi1g01500
BdiBd21-3.1G0018700.1	Bradi1g01507
BdiBd21-3.1G0018800.1	Bradi1g01520
BdiBd21-3.1G0018900.1	Bradi1g01530
BdiBd21-3.1G0019000.1	Bradi1g01541
BdiBd21-3.1G0019100.1	Bradi1g01551
BdiBd21-3.1G0019200.1	Bradi1g01560
BdiBd21-3.1G0019200.2	Bradi1g01560
BdiBd21-3.1G0019300.1	Bradi1g01570
BdiBd21-3.1G0019400.1	Bradi1g01580
BdiBd21-3.1G0019500.1	Bradi1g01590
BdiBd21-3.1G0019600.1	Bradi1g01593
BdiBd21-3.1G0019700.1	Bradi1g01594
BdiBd21-3.1G0019800.1	Bradi1g01596
BdiBd21-3.1G0019900.1	Bradi1g01598
BdiBd21-3.1G0020000.1	Bradi1g01600
BdiBd21-3.1G0020100.1	Bradi1g01610
BdiBd21-3.1G0020200.1	Bradi1g01620
BdiBd21-3.1G0020300.1	Bradi1g01630
BdiBd21-3.1G0020400.1	Bradi1g01640
BdiBd21-3.1G0020400.2	Bradi1g01640
BdiBd21-3.1G0020400.3	Bradi1g01640
BdiBd21-3.1G0020400.4	Bradi1g01640
BdiBd21-3.1G0020400.5	Bradi1g01640
BdiBd21-3.1G0020400.6	Bradi1g01640
BdiBd21-3.1G0020500.1	Bradi1g01645
BdiBd21-3.1G0020600.1	Bradi1g01650
BdiBd21-3.1G0020700.1	Bradi1g01656
BdiBd21-3.1G0020700.2	Bradi1g01656
BdiBd21-3.1G0020800.1	Bradi1g01660
BdiBd21-3.1G0020900.1	Bradi1g01670
BdiBd21-3.1G0021000.1	Bradi1g01680
BdiBd21-3.1G0021100.1	Bradi1g01683
BdiBd21-3.1G0021300.1	Bradi1g01691
BdiBd21-3.1G0021400.1	Bradi1g01692
BdiBd21-3.1G0021500.1	Bradi1g01693
BdiBd21-3.1G0021600.1	Bradi1g01695
BdiBd21-3.1G0021700.1	Bradi1g01700
BdiBd21-3.1G0021800.1	Bradi1g01710
BdiBd21-3.1G0021900.1	Bradi1g01720
BdiBd21-3.1G0022000.1	Bradi1g01730
BdiBd21-3.1G0022000.2	Bradi1g01730
BdiBd21-3.1G0022000.3	Bradi1g01730
BdiBd21-3.1G0022100.1	Bradi1g01740
BdiBd21-3.1G0022200.1	Bradi1g01750
BdiBd21-3.1G0022300.1	Bradi1g01760
BdiBd21-3.1G0022400.1	Bradi1g01770
BdiBd21-3.1G0022500.1	Bradi1g01780
BdiBd21-3.1G0022600.1	Bradi1g01790
BdiBd21-3.1G0022700.1	Bradi1g01795
BdiBd21-3.1G0022800.1	Bradi1g01800
BdiBd21-3.1G0022900.1	Bradi1g01801
BdiBd21-3.1G0023000.1	Bradi1g01802
BdiBd21-3.1G0023100.1	Bradi1g01805
BdiBd21-3.1G0023200.1	Bradi1g01807
BdiBd21-3.1G0023300.1	Bradi1g01810
BdiBd21-3.1G0023300.2	Bradi1g01810
BdiBd21-3.1G0023300.3	Bradi1g01810
BdiBd21-3.1G0023300.4	Bradi1g01810
BdiBd21-3.1G0023400.1	Bradi1g01820
BdiBd21-3.1G0023500.1	Bradi1g01830
BdiBd21-3.1G0023500.2	Bradi1g01830
BdiBd21-3.1G0023600.1	Bradi1g01835
BdiBd21-3.1G0023700.1	Bradi1g01840
BdiBd21-3.1G0023700.2	Bradi1g01840
BdiBd21-3.1G0023800.1	Bradi1g01847
BdiBd21-3.1G0023800.2	Bradi1g01847
BdiBd21-3.1G0023800.3	Bradi1g01847
BdiBd21-3.1G0023800.4	Bradi1g01847
BdiBd21-3.1G0023900.1	Bradi1g01860
BdiBd21-3.1G0024000.1	Bradi1g01870
BdiBd21-3.1G0024000.2	Bradi1g01870
BdiBd21-3.1G0024200.1	Bradi1g01876
BdiBd21-3.1G0024400.1	Bradi1g01880
BdiBd21-3.1G0024500.1	Bradi1g01890
BdiBd21-3.1G0024600.1	Bradi1g01900
BdiBd21-3.1G0024700.1	Bradi1g01910
BdiBd21-3.1G0024800.1	Bradi1g01920
BdiBd21-3.1G0024900.1	Bradi1g01930
BdiBd21-3.1G0025100.1	Bradi1g01936
BdiBd21-3.1G0025300.1	Bradi1g01946
BdiBd21-3.1G0025400.1	Bradi1g01948
BdiBd21-3.1G0025500.1	Bradi1g01970
BdiBd21-3.1G0025600.1	Bradi1g01950
BdiBd21-3.1G0025800.1	Bradi1g01965
BdiBd21-3.1G0025900.1	Bradi1g01980
BdiBd21-3.1G0026000.1	Bradi1g01985
BdiBd21-3.1G0026100.1	Bradi1g01990
BdiBd21-3.1G0026200.1	Bradi1g02000
BdiBd21-3.1G0026200.2	Bradi1g02000
BdiBd21-3.1G0026300.1	Bradi1g02010
BdiBd21-3.1G0026400.1	Bradi1g02020
BdiBd21-3.1G0026400.2	Bradi1g02020
BdiBd21-3.1G0026400.3	Bradi1g02020
BdiBd21-3.1G0026500.1	Bradi1g02030
BdiBd21-3.1G0026600.1	Bradi1g02040
BdiBd21-3.1G0026800.1	Bradi1g02056
BdiBd21-3.1G0026900.1	Bradi1g02060
BdiBd21-3.1G0027100.1	Bradi1g02071
BdiBd21-3.1G0027200.1	Bradi1g02080
BdiBd21-3.1G0027300.1	Bradi1g02090
BdiBd21-3.1G0027300.2	Bradi1g02090
BdiBd21-3.1G0027400.1	Bradi1g02100
BdiBd21-3.1G0027500.1	Bradi1g02103
BdiBd21-3.1G0027600.1	Bradi1g02107
BdiBd21-3.1G0027700.1	Bradi1g02117
BdiBd21-3.1G0027700.2	Bradi1g02117
BdiBd21-3.1G0027900.1	Bradi1g02130
BdiBd21-3.1G0028100.1	Bradi1g02145
BdiBd21-3.1G0028200.1	Bradi1g02150
BdiBd21-3.1G0028300.1	Bradi1g02160
BdiBd21-3.1G0028300.2	Bradi1g02160
BdiBd21-3.1G0028400.1	Bradi1g02165
BdiBd21-3.1G0028500.1	Bradi1g02170
BdiBd21-3.1G0028700.1	Bradi1g02180
BdiBd21-3.1G0028800.1	Bradi1g02185
BdiBd21-3.1G0028900.1	Bradi1g02187
BdiBd21-3.1G0029000.1	Bradi1g02190
BdiBd21-3.1G0029100.1	Bradi1g02200
BdiBd21-3.1G0029200.1	Bradi1g02205
BdiBd21-3.1G0029300.1	Bradi1g02210
BdiBd21-3.1G0029400.1	Bradi1g02220
BdiBd21-3.1G0029500.1	Bradi1g02230
BdiBd21-3.1G0029600.1	Bradi1g02240
BdiBd21-3.1G0029700.1	Bradi1g02247
BdiBd21-3.1G0029700.2	Bradi1g02247
BdiBd21-3.1G0029800.1	Bradi1g02260
BdiBd21-3.1G0029900.1	Bradi1g02270
BdiBd21-3.1G0030100.1	Bradi1g02273
BdiBd21-3.1G0030300.1	Bradi1g02280
BdiBd21-3.1G0030400.1	Bradi1g02290
BdiBd21-3.1G0030400.2	Bradi1g02290
BdiBd21-3.1G0030400.3	Bradi1g02290
BdiBd21-3.1G0030500.1	Bradi1g02300
BdiBd21-3.1G0030600.1	Bradi1g02303
BdiBd21-3.1G0030700.1	Bradi1g02304
BdiBd21-3.1G0030800.1	Bradi1g02306
BdiBd21-3.1G0030900.1	Bradi1g02310
BdiBd21-3.1G0031100.1	Bradi1g02338
BdiBd21-3.1G0031200.1	Bradi1g02350
BdiBd21-3.1G0031300.1	Bradi1g02361
BdiBd21-3.1G0031400.1	Bradi1g02370
BdiBd21-3.1G0031500.1	Bradi1g02380
BdiBd21-3.1G0031500.2	Bradi1g02380
BdiBd21-3.1G0031500.3	Bradi1g02380
BdiBd21-3.1G0031600.1	Bradi1g02390
BdiBd21-3.1G0031600.2	Bradi1g02390
BdiBd21-3.1G0031700.1	Bradi1g02400
BdiBd21-3.1G0031700.2	Bradi1g02400
BdiBd21-3.1G0031800.1	Bradi1g02410
BdiBd21-3.1G0031900.1	Bradi1g02420
BdiBd21-3.1G0032000.1	Bradi1g02430
BdiBd21-3.1G0032100.1	Bradi1g02440
BdiBd21-3.1G0032200.1	Bradi1g02450
BdiBd21-3.1G0032300.1	Bradi1g02460
BdiBd21-3.1G0032300.2	Bradi1g02460
BdiBd21-3.1G0032400.1	Bradi1g02465
BdiBd21-3.1G0032500.1	Bradi1g02470
BdiBd21-3.1G0032600.1	Bradi1g02475
BdiBd21-3.1G0032700.1	Bradi1g02480
BdiBd21-3.1G0033000.1	Bradi1g02483
BdiBd21-3.1G0033100.1	Bradi1g02487
BdiBd21-3.1G0033200.1	Bradi1g02490
BdiBd21-3.1G0033300.1	Bradi1g02497
BdiBd21-3.1G0033400.1	Bradi1g02505
BdiBd21-3.1G0033500.1	Bradi1g02510
BdiBd21-3.1G0033500.2	Bradi1g02510
BdiBd21-3.1G0033600.1	Bradi1g02517
BdiBd21-3.1G0033700.1	Bradi1g02530
BdiBd21-3.1G0033800.1	Bradi1g02535
BdiBd21-3.1G0033900.1	Bradi1g02540
BdiBd21-3.1G0034000.1	Bradi1g02550
BdiBd21-3.1G0034100.1	Bradi1g02560
BdiBd21-3.1G0034200.1	Bradi1g02570
BdiBd21-3.1G0034200.2	Bradi1g02570
BdiBd21-3.1G0034300.1	Bradi1g02575
BdiBd21-3.1G0034400.1	Bradi1g02580
BdiBd21-3.1G0034500.1	Bradi1g02590
BdiBd21-3.1G0034600.1	Bradi1g02597
BdiBd21-3.1G0034700.1	Bradi1g02610
BdiBd21-3.1G0034800.1	Bradi1g02615
BdiBd21-3.1G0034900.1	Bradi1g02621
BdiBd21-3.1G0034900.2	Bradi1g02621
BdiBd21-3.1G0035000.1	Bradi1g02630
BdiBd21-3.1G0035000.2	Bradi1g02630
BdiBd21-3.1G0035100.1	Bradi1g02635
BdiBd21-3.1G0035300.1	Bradi1g02640
BdiBd21-3.1G0035400.1	Bradi1g02670
BdiBd21-3.1G0035500.1	Bradi1g02680
BdiBd21-3.1G0035500.2	Bradi1g02680
BdiBd21-3.1G0035600.1	Bradi1g02685
BdiBd21-3.1G0035700.1	Bradi1g02690
BdiBd21-3.1G0035800.1	Bradi1g02697
BdiBd21-3.1G0035900.1	Bradi1g02710
BdiBd21-3.1G0036000.1	Bradi1g02720
BdiBd21-3.1G0036000.2	Bradi1g02720
BdiBd21-3.1G0036000.3	Bradi1g02720
BdiBd21-3.1G0036100.1	Bradi1g02730
BdiBd21-3.1G0036200.1	Bradi1g02735
BdiBd21-3.1G0036300.1	Bradi1g02740
BdiBd21-3.1G0036400.1	Bradi1g02750
BdiBd21-3.1G0036500.1	Bradi1g02755
BdiBd21-3.1G0036600.1	Bradi1g02760
BdiBd21-3.1G0036700.1	Bradi1g02770
BdiBd21-3.1G0036800.1	Bradi1g02780
BdiBd21-3.1G0036900.1	Bradi1g02790
BdiBd21-3.1G0037000.1	Bradi1g02800
BdiBd21-3.1G0037100.1	Bradi1g02805
BdiBd21-3.1G0037200.1	Bradi1g02810
BdiBd21-3.1G0037200.2	Bradi1g02810
BdiBd21-3.1G0037400.1	Bradi1g02820
BdiBd21-3.1G0037500.1	Bradi1g02830
BdiBd21-3.1G0037600.1	Bradi1g02840
BdiBd21-3.1G0037700.1	Bradi1g02850
BdiBd21-3.1G0037700.2	Bradi1g02850
BdiBd21-3.1G0037800.1	Bradi1g02860
BdiBd21-3.1G0037900.1	Bradi1g02870
BdiBd21-3.1G0038000.1	Bradi1g02880
BdiBd21-3.1G0038000.2	Bradi1g02880
BdiBd21-3.1G0038100.1	Bradi1g02890
BdiBd21-3.1G0038100.2	Bradi1g02890
BdiBd21-3.1G0038100.3	Bradi1g02890
BdiBd21-3.1G0038200.1	Bradi1g02900
BdiBd21-3.1G0038300.1	Bradi1g02910
BdiBd21-3.1G0038300.2	Bradi1g02910
BdiBd21-3.1G0038300.3	Bradi1g02910
BdiBd21-3.1G0038400.1	Bradi1g02920
BdiBd21-3.1G0038400.2	Bradi1g02920
BdiBd21-3.1G0038500.1	Bradi1g02930
BdiBd21-3.1G0038600.1	Bradi1g02940
BdiBd21-3.1G0038700.1	Bradi1g02950
BdiBd21-3.1G0038800.1	Bradi1g02960
BdiBd21-3.1G0039000.1	Bradi1g02970
BdiBd21-3.1G0039100.1	Bradi1g02980
BdiBd21-3.1G0039200.1	Bradi1g02990
BdiBd21-3.1G0039200.2	Bradi1g02990
BdiBd21-3.1G0039300.1	Bradi1g03000
BdiBd21-3.1G0039400.1	Bradi1g03010
BdiBd21-3.1G0039400.2	Bradi1g03010
BdiBd21-3.1G0039400.3	Bradi1g03010
BdiBd21-3.1G0039400.4	Bradi1g03010
BdiBd21-3.1G0039500.1	Bradi1g03020
BdiBd21-3.1G0039600.1	Bradi1g03030
BdiBd21-3.1G0039700.1	Bradi1g03040
BdiBd21-3.1G0039800.1	Bradi1g03050
BdiBd21-3.1G0039900.1	Bradi1g03056
BdiBd21-3.1G0040000.1	Bradi1g03063
BdiBd21-3.1G0040200.1	Bradi1g03070
BdiBd21-3.1G0040300.1	Bradi1g03080
BdiBd21-3.1G0040400.1	Bradi1g03090
BdiBd21-3.1G0040500.1	Bradi1g03100
BdiBd21-3.1G0040600.1	Bradi1g03105
BdiBd21-3.1G0040700.1	Bradi1g03110
BdiBd21-3.1G0040800.1	Bradi1g03120
BdiBd21-3.1G0040900.1	Bradi1g03130
BdiBd21-3.1G0041000.1	Bradi1g03136
BdiBd21-3.1G0041100.1	Bradi1g03142
BdiBd21-3.1G0041100.2	Bradi1g03142
BdiBd21-3.1G0041200.1	Bradi1g03146
BdiBd21-3.1G0041300.1	Bradi1g03150
BdiBd21-3.1G0041400.1	Bradi1g03160
BdiBd21-3.1G0041500.1	Bradi1g03170
BdiBd21-3.1G0041500.2	Bradi1g03170
BdiBd21-3.1G0041600.1	Bradi1g03180
BdiBd21-3.1G0041700.1	Bradi1g03185
BdiBd21-3.1G0041800.1	Bradi1g03191
BdiBd21-3.1G0042000.1	Bradi1g03200
BdiBd21-3.1G0042100.1	Bradi1g03207
BdiBd21-3.1G0042200.1	Bradi1g03220
BdiBd21-3.1G0042300.1	Bradi1g03230
BdiBd21-3.1G0042400.1	Bradi1g03235
BdiBd21-3.1G0042500.1	Bradi1g03240
BdiBd21-3.1G0042600.1	Bradi1g03245
BdiBd21-3.1G0042700.1	Bradi1g03250
BdiBd21-3.1G0042800.1	Bradi1g03260
BdiBd21-3.1G0042900.1	Bradi1g03270
BdiBd21-3.1G0043000.1	Bradi4g45416
BdiBd21-3.1G0043100.1	Bradi1g03277
BdiBd21-3.1G0043200.1	Bradi1g03283
BdiBd21-3.1G0043300.1	Bradi1g03290
BdiBd21-3.1G0043500.1	Bradi1g03307
BdiBd21-3.1G0043500.2	Bradi1g03307
BdiBd21-3.1G0043500.3	Bradi1g03307
BdiBd21-3.1G0043500.4	Bradi1g03307
BdiBd21-3.1G0043600.1	Bradi1g03313
BdiBd21-3.1G0043700.1	Bradi1g03330
BdiBd21-3.1G0043800.1	Bradi1g03340
BdiBd21-3.1G0043900.1	Bradi1g03350
BdiBd21-3.1G0044000.1	Bradi1g03355
BdiBd21-3.1G0044100.1	Bradi1g03360
BdiBd21-3.1G0044200.1	Bradi1g03367
BdiBd21-3.1G0044200.2	Bradi1g03367
BdiBd21-3.1G0044200.3	Bradi1g03367
BdiBd21-3.1G0044300.1	Bradi1g03380
BdiBd21-3.1G0044400.1	Bradi1g03392
BdiBd21-3.1G0044500.1	Bradi1g03400
BdiBd21-3.1G0044600.1	Bradi1g03410
BdiBd21-3.1G0044700.1	Bradi1g03420
BdiBd21-3.1G0044800.1	Bradi1g03431
BdiBd21-3.1G0044900.1	Bradi1g03440
BdiBd21-3.1G0044900.2	Bradi1g03440
BdiBd21-3.1G0045000.1	Bradi1g03450
BdiBd21-3.1G0045100.1	Bradi1g03460
BdiBd21-3.1G0045200.1	Bradi1g03470
BdiBd21-3.1G0045200.2	Bradi1g03470
BdiBd21-3.1G0045200.3	Bradi1g03470
BdiBd21-3.1G0045200.4	Bradi1g03470
BdiBd21-3.1G0045300.1	Bradi1g03480
BdiBd21-3.1G0045600.1	Bradi1g03486
BdiBd21-3.1G0045700.1	Bradi1g03490
BdiBd21-3.1G0045800.1	Bradi1g03500
BdiBd21-3.1G0045900.1	Bradi1g03510
BdiBd21-3.1G0046000.1	Bradi1g03520
BdiBd21-3.1G0046100.1	Bradi1g03530
BdiBd21-3.1G0046200.1	Bradi1g03537
BdiBd21-3.1G0046300.1	Bradi1g03550
BdiBd21-3.1G0046400.1	Bradi1g03555
BdiBd21-3.1G0046500.1	Bradi1g03560
BdiBd21-3.1G0046600.1	Bradi1g03580
BdiBd21-3.1G0046700.1	Bradi1g03590
BdiBd21-3.1G0046800.1	Bradi1g03595
BdiBd21-3.1G0046900.1	Bradi1g03600
BdiBd21-3.1G0047000.1	Bradi1g03605
