TF_ID	Gene_ID	Family
Bradi1g16120.2.p	Bradi1g16120	WRKY
Bradi1g16120.3.p	Bradi1g16120	WRKY
Bradi1g16120.4.p	Bradi1g16120	WRKY
Bradi1g16120.5.p	Bradi1g16120	WRKY
Bradi1g16120.6.p	Bradi1g16120	WRKY
Bradi1g16120.7.p	Bradi1g16120	WRKY
Bradi1g16120.8.p	Bradi1g16120	WRKY
Bradi1g17210.2.p	Bradi1g17210	bZIP
Bradi1g17210.3.p	Bradi1g17210	bZIP
Bradi1g17335.1.p	Bradi1g17335	bZIP
Bradi1g17335.2.p	Bradi1g17335	bZIP
Bradi1g17410.1.p	Bradi1g17410	Dof
Bradi1g17410.2.p	Bradi1g17410	Dof
Bradi1g17410.3.p	Bradi1g17410	Dof
Bradi1g17410.4.p	Bradi1g17410	Dof
Bradi1g17410.5.p	Bradi1g17410	Dof
Bradi1g17410.6.p	Bradi1g17410	Dof
Bradi1g17440.1.p	Bradi1g17440	NAC
Bradi1g17480.1.p	Bradi1g17480	NAC
Bradi1g17524.1.p	Bradi1g17524	FAR1
Bradi1g17660.1.p	Bradi1g17660	WRKY
Bradi1g17660.2.p	Bradi1g17660	WRKY
Bradi1g17700.1.p	Bradi1g17700	bZIP
Bradi1g18400.1.p	Bradi1g18400	bHLH
Bradi1g19702.1.p	Bradi1g19702	bZIP
Bradi1g19740.1.p	Bradi1g19740	FAR1
Bradi1g19900.1.p	Bradi1g19900	HSF
Bradi1g19900.2.p	Bradi1g19900	HSF
Bradi1g20063.2.p	Bradi1g20063	NAC
Bradi1g20210.1.p	Bradi1g20210	GeBP
Bradi1g20801.1.p	Bradi1g20801	NAC
Bradi1g20805.1.p	Bradi1g20805	NAC
Bradi1g20830.1.p	Bradi1g20830	FAR1
Bradi1g20830.3.p	Bradi1g20830	FAR1
Bradi1g20830.4.p	Bradi1g20830	FAR1
Bradi1g21115.1.p	Bradi1g21115	FAR1
Bradi1g21372.1.p	Bradi1g21372	CAMTA
Bradi1g21762.1.p	Bradi1g21762	NF-YA
Bradi1g21900.1.p	Bradi1g21900	NF-YB
Bradi1g22431.2.p	Bradi1g22431	FAR1
Bradi1g22680.2.p	Bradi1g22680	WRKY
Bradi1g22907.1.p	Bradi1g22907	GRAS
Bradi1g22920.1.p	Bradi1g22920	LBD
Bradi1g22960.1.p	Bradi1g22960	bHLH
Bradi1g23060.1.p	Bradi1g23060	GRAS
Bradi1g23090.1.p	Bradi1g23090	HRT-like
Bradi1g23297.1.p	Bradi1g23297	FAR1
Bradi1g23340.1.p	Bradi1g23340	WRKY
Bradi1g23340.2.p	Bradi1g23340	WRKY
Bradi1g23350.1.p	Bradi1g23350	GRAS
Bradi1g23550.1.p	Bradi1g23550	BES1
Bradi1g24051.1.p	Bradi1g24051	YABBY
Bradi1g24051.2.p	Bradi1g24051	YABBY
Bradi1g24310.1.p	Bradi1g24310	GRAS
Bradi1g24390.1.p	Bradi1g24390	NAC
Bradi1g24390.2.p	Bradi1g24390	NAC
Bradi1g24390.3.p	Bradi1g24390	NAC
Bradi1g24700.4.p	Bradi1g24700	FAR1
Bradi1g25230.1.p	Bradi1g25230	bHLH
Bradi1g25230.2.p	Bradi1g25230	bHLH
Bradi1g25370.1.p	Bradi1g25370	GRAS
Bradi1g25370.2.p	Bradi1g25370	GRAS
Bradi1g25470.1.p	Bradi1g25470	bHLH
Bradi1g26570.1.p	Bradi1g26570	Dof
Bradi1g26654.1.p	Bradi1g26654	FAR1
Bradi1g26720.1.p	Bradi1g26720	SBP
Bradi1g26960.1.p	Bradi1g26960	FAR1
Bradi1g26960.2.p	Bradi1g26960	FAR1
Bradi1g26960.3.p	Bradi1g26960	FAR1
Bradi1g26980.1.p	Bradi1g26980	FAR1
Bradi1g26980.2.p	Bradi1g26980	FAR1
Bradi1g26980.3.p	Bradi1g26980	FAR1
Bradi1g26980.4.p	Bradi1g26980	FAR1
Bradi1g26980.5.p	Bradi1g26980	FAR1
Bradi1g27170.1.p	Bradi1g27170	CAMTA
Bradi1g29030.1.p	Bradi1g29030	FAR1
Bradi1g29147.2.p	Bradi1g29147	FAR1
Bradi1g29147.3.p	Bradi1g29147	FAR1
Bradi1g29147.4.p	Bradi1g29147	FAR1
Bradi1g29147.5.p	Bradi1g29147	FAR1
Bradi1g29147.6.p	Bradi1g29147	FAR1
Bradi1g29147.7.p	Bradi1g29147	FAR1
Bradi1g29857.1.p	Bradi1g29857	NAC
Bradi1g29920.1.p	Bradi1g29920	bZIP
Bradi1g29920.2.p	Bradi1g29920	bZIP
Bradi1g30000.1.p	Bradi1g30000	bHLH
Bradi1g30000.2.p	Bradi1g30000	bHLH
Bradi1g30140.1.p	Bradi1g30140	bZIP
Bradi1g30750.1.p	Bradi1g30750	bZIP
Bradi1g30870.1.p	Bradi1g30870	WRKY
Bradi1g31391.2.p	Bradi1g31391	SBP
Bradi1g31406.1.p	Bradi1g31406	FAR1
Bradi1g31700.1.p	Bradi1g31700	bZIP
Bradi1g31700.2.p	Bradi1g31700	bZIP
Bradi1g31700.3.p	Bradi1g31700	bZIP
Bradi1g31700.4.p	Bradi1g31700	bZIP
Bradi1g31700.5.p	Bradi1g31700	bZIP
Bradi1g32070.2.p	Bradi1g32070	GRAS
Bradi1g32200.1.p	Bradi1g32200	NF-YC
Bradi1g32660.1.p	Bradi1g32660	NAC
Bradi1g32951.1.p	Bradi1g32951	FAR1
Bradi1g32951.2.p	Bradi1g32951	FAR1
Bradi1g32951.3.p	Bradi1g32951	FAR1
Bradi1g33801.1.p	Bradi1g33801	FAR1
Bradi1g33980.1.p	Bradi1g33980	GATA
Bradi1g33980.2.p	Bradi1g33980	GATA
Bradi1g34990.1.p	Bradi1g34990	SRS
Bradi1g35322.2.p	Bradi1g35322	FAR1
Bradi1g35322.3.p	Bradi1g35322	FAR1
Bradi1g35552.1.p	Bradi1g35552	bZIP
Bradi1g35790.1.p	Bradi1g35790	bZIP
Bradi1g35990.1.p	Bradi1g35990	bHLH
Bradi1g35990.2.p	Bradi1g35990	bHLH
Bradi1g36180.2.p	Bradi1g36180	GRAS
Bradi1g36200.1.p	Bradi1g36200	NAC
Bradi1g36750.2.p	Bradi1g36750	bZIP
Bradi1g37480.1.p	Bradi1g37480	GATA
Bradi1g37540.2.p	Bradi1g37540	bHLH
Bradi1g37720.1.p	Bradi1g37720	HSF
Bradi1g37898.1.p	Bradi1g37898	NAC
Bradi1g37898.2.p	Bradi1g37898	NAC
Bradi1g38140.1.p	Bradi1g38140	HSF
Bradi1g38140.2.p	Bradi1g38140	HSF
Bradi1g38180.1.p	Bradi1g38180	BES1
Bradi1g38180.2.p	Bradi1g38180	BES1
Bradi1g38577.1.p	Bradi1g38577	E2F/DP
Bradi1g38650.1.p	Bradi1g38650	bHLH
Bradi1g38666.1.p	Bradi1g38666	FAR1
Bradi1g38730.1.p	Bradi1g38730	NAC
Bradi1g38730.2.p	Bradi1g38730	NAC
Bradi1g39472.1.p	Bradi1g39472	WRKY
Bradi1g40407.2.p	Bradi1g40407	CPP
Bradi1g40407.3.p	Bradi1g40407	CPP
Bradi1g40407.4.p	Bradi1g40407	CPP
Bradi1g40407.5.p	Bradi1g40407	CPP
Bradi1g40407.6.p	Bradi1g40407	CPP
Bradi1g40407.7.p	Bradi1g40407	CPP
Bradi1g41693.1.p	Bradi1g41693	FAR1
Bradi1g41712.2.p	Bradi1g41712	NAC
Bradi1g41712.3.p	Bradi1g41712	NAC
Bradi1g42440.1.p	Bradi1g42440	bHLH
Bradi1g43021.1.p	Bradi1g43021	FAR1
Bradi1g43460.1.p	Bradi1g43460	NF-YB
Bradi1g43470.3.p	Bradi1g43470	NF-YB
Bradi1g43480.1.p	Bradi1g43480	NF-YB
Bradi1g43650.1.p	Bradi1g43650	bHLH
Bradi1g43650.2.p	Bradi1g43650	bHLH
Bradi1g43661.1.p	Bradi1g43661	bZIP
Bradi1g43840.1.p	Bradi1g43840	NAC
Bradi1g43840.2.p	Bradi1g43840	NAC
Bradi1g43840.3.p	Bradi1g43840	NAC
Bradi1g43840.4.p	Bradi1g43840	NAC
Bradi1g43840.5.p	Bradi1g43840	NAC
Bradi1g43900.2.p	Bradi1g43900	bZIP
Bradi1g43900.3.p	Bradi1g43900	bZIP
Bradi1g43900.4.p	Bradi1g43900	bZIP
Bradi1g44241.1.p	Bradi1g44241	FAR1
Bradi1g44270.2.p	Bradi1g44270	NF-X1
Bradi1g44520.1.p	Bradi1g44520	E2F/DP
Bradi1g45165.1.p	Bradi1g45165	Nin-like
Bradi1g45220.2.p	Bradi1g45220	TCP
Bradi1g45260.1.p	Bradi1g45260	bHLH
Bradi1g46060.1.p	Bradi1g46060	bZIP
Bradi1g46084.1.p	Bradi1g46084	FAR1
Bradi1g46100.1.p	Bradi1g46100	bHLH
Bradi1g46160.1.p	Bradi1g46160	GeBP
Bradi1g46212.1.p	Bradi1g46212	FAR1
Bradi1g46700.1.p	Bradi1g46700	bHLH
Bradi1g46700.2.p	Bradi1g46700	bHLH
Bradi1g47350.1.p	Bradi1g47350	bHLH
Bradi1g47465.1.p	Bradi1g47465	FAR1
Bradi1g47690.1.p	Bradi1g47690	WRKY
Bradi1g47690.2.p	Bradi1g47690	WRKY
Bradi1g47690.3.p	Bradi1g47690	WRKY
Bradi1g47900.2.p	Bradi1g47900	GRAS
Bradi1g48350.1.p	Bradi1g48350	FAR1
Bradi1g48350.2.p	Bradi1g48350	FAR1
Bradi1g48400.1.p	Bradi1g48400	bHLH
Bradi1g48400.2.p	Bradi1g48400	bHLH
Bradi1g48580.1.p	Bradi1g48580	NAC
Bradi1g48635.1.p	Bradi1g48635	FAR1
Bradi1g48770.3.p	Bradi1g48770	WRKY
Bradi1g49630.1.p	Bradi1g49630	GRAS
Bradi1g49980.10.p	Bradi1g49980	BBR-BPC
Bradi1g50057.1.p	Bradi1g50057	NAC
Bradi1g50057.2.p	Bradi1g50057	NAC
Bradi1g51030.1.p	Bradi1g51030	WRKY
Bradi1g51040.1.p	Bradi1g51040	Whirly
Bradi1g51281.1.p	Bradi1g51281	FAR1
Bradi1g51599.1.p	Bradi1g51599	FAR1
Bradi1g51599.2.p	Bradi1g51599	FAR1
Bradi1g52187.2.p	Bradi1g52187	NAC
Bradi1g52187.3.p	Bradi1g52187	NAC
Bradi1g52240.1.p	Bradi1g52240	GRAS
Bradi1g52480.2.p	Bradi1g52480	NAC
Bradi1g52480.3.p	Bradi1g52480	NAC
Bradi1g53656.1.p	Bradi1g53656	NAC
Bradi1g53770.1.p	Bradi1g53770	NAC
Bradi1g54070.1.p	Bradi1g54070	bHLH
Bradi1g54111.3.p	Bradi1g54111	bHLH
Bradi1g54111.4.p	Bradi1g54111	bHLH
Bradi1g54180.1.p	Bradi1g54180	bZIP
Bradi1g54180.2.p	Bradi1g54180	bZIP
Bradi1g54180.3.p	Bradi1g54180	bZIP
Bradi1g54180.4.p	Bradi1g54180	bZIP
Bradi1g54690.1.p	Bradi1g54690	bHLH
Bradi1g54690.2.p	Bradi1g54690	bHLH
Bradi1g54690.3.p	Bradi1g54690	bHLH
Bradi1g54690.4.p	Bradi1g54690	bHLH
Bradi1g55427.1.p	Bradi1g55427	bHLH
Bradi1g55427.2.p	Bradi1g55427	bHLH
Bradi1g55427.3.p	Bradi1g55427	bHLH
Bradi1g55446.1.p	Bradi1g55446	bZIP
Bradi1g55630.2.p	Bradi1g55630	HSF
Bradi1g55630.3.p	Bradi1g55630	HSF
Bradi1g55710.1.p	Bradi1g55710	CPP
Bradi1g55710.2.p	Bradi1g55710	CPP
Bradi1g56841.1.p	Bradi1g56841	FAR1
Bradi1g57070.1.p	Bradi1g57070	YABBY
Bradi1g58057.1.p	Bradi1g58057	NAC
Bradi1g58230.1.p	Bradi1g58230	bHLH
Bradi1g58450.1.p	Bradi1g58450	TCP
Bradi1g59180.2.p	Bradi1g59180	WRKY
Bradi1g60030.1.p	Bradi1g60030	NF-YB
Bradi1g60140.1.p	Bradi1g60140	GRAS
Bradi1g60817.1.p	Bradi1g60817	CAMTA
Bradi1g61110.1.p	Bradi1g61110	bHLH
Bradi1g61110.2.p	Bradi1g61110	bHLH
Bradi1g61477.1.p	Bradi1g61477	GeBP
Bradi1g61525.1.p	Bradi1g61525	NAC
Bradi1g61620.1.p	Bradi1g61620	HSF
Bradi1g61620.2.p	Bradi1g61620	HSF
Bradi1g63170.1.p	Bradi1g63170	bZIP
Bradi1g63220.1.p	Bradi1g63220	WRKY
Bradi1g63600.1.p	Bradi1g63600	NAC
Bradi1g63630.1.p	Bradi1g63630	NAC
Bradi1g63780.1.p	Bradi1g63780	EIL
Bradi1g63780.2.p	Bradi1g63780	EIL
Bradi1g63840.1.p	Bradi1g63840	bZIP
Bradi1g63910.1.p	Bradi1g63910	WRKY
Bradi1g64060.1.p	Bradi1g64060	bZIP
Bradi1g64060.3.p	Bradi1g64060	bZIP
Bradi1g64550.1.p	Bradi1g64550	bZIP
Bradi1g65760.1.p	Bradi1g65760	LBD
Bradi1g66345.2.p	Bradi1g66345	bHLH
Bradi1g66597.1.p	Bradi1g66597	Dof
Bradi1g67340.1.p	Bradi1g67340	GRAS
Bradi1g67500.1.p	Bradi1g67500	bHLH
Bradi1g67740.1.p	Bradi1g67740	FAR1
Bradi1g67770.1.p	Bradi1g67770	FAR1
Bradi1g67980.2.p	Bradi1g67980	NF-YC
Bradi1g67980.3.p	Bradi1g67980	NF-YC
Bradi1g67980.4.p	Bradi1g67980	NF-YC
Bradi1g68170.1.p	Bradi1g68170	LBD
Bradi1g68560.2.p	Bradi1g68560	bZIP
Bradi1g68560.3.p	Bradi1g68560	bZIP
Bradi1g68560.4.p	Bradi1g68560	bZIP
Bradi1g69110.2.p	Bradi1g69110	bHLH
Bradi1g69110.3.p	Bradi1g69110	bHLH
Bradi1g69110.4.p	Bradi1g69110	bHLH
Bradi1g69110.5.p	Bradi1g69110	bHLH
Bradi1g69197.1.p	Bradi1g69197	bHLH
Bradi1g69407.1.p	Bradi1g69407	HSF
Bradi1g69617.2.p	Bradi1g69617	NAC
Bradi1g69617.3.p	Bradi1g69617	NAC
Bradi1g69900.1.p	Bradi1g69900	YABBY
Bradi1g69900.3.p	Bradi1g69900	YABBY
Bradi1g69900.4.p	Bradi1g69900	YABBY
Bradi1g69900.5.p	Bradi1g69900	YABBY
Bradi1g70860.1.p	Bradi1g70860	bHLH
Bradi1g71810.2.p	Bradi1g71810	CAMTA
Bradi1g71990.2.p	Bradi1g71990	bHLH
Bradi1g72196.1.p	Bradi1g72196	FAR1
Bradi1g72960.1.p	Bradi1g72960	NF-YA
Bradi1g72960.2.p	Bradi1g72960	NF-YA
Bradi1g72960.3.p	Bradi1g72960	NF-YA
Bradi1g73013.1.p	Bradi1g73013	ZF-HD
Bradi1g73016.1.p	Bradi1g73016	ZF-HD
Bradi1g73020.1.p	Bradi1g73020	ZF-HD
Bradi1g73023.1.p	Bradi1g73023	ZF-HD
Bradi1g73026.1.p	Bradi1g73026	ZF-HD
Bradi1g73140.1.p	Bradi1g73140	bHLH
Bradi1g73161.1.p	Bradi1g73161	bHLH
Bradi1g73710.1.p	Bradi1g73710	Dof
Bradi1g74350.2.p	Bradi1g74350	HSF
Bradi1g74350.3.p	Bradi1g74350	HSF
Bradi1g74432.1.p	Bradi1g74432	FAR1
Bradi1g74890.1.p	Bradi1g74890	E2F/DP
Bradi1g74890.2.p	Bradi1g74890	E2F/DP
Bradi1g75110.1.p	Bradi1g75110	LBD
Bradi1g75120.1.p	Bradi1g75120	LBD
Bradi1g75420.1.p	Bradi1g75420	GATA
Bradi1g76030.1.p	Bradi1g76030	bHLH
Bradi1g76207.2.p	Bradi1g76207	NAC
Bradi1g76340.1.p	Bradi1g76340	Nin-like
Bradi1g76340.2.p	Bradi1g76340	Nin-like
Bradi1g76340.3.p	Bradi1g76340	Nin-like
Bradi1g76340.4.p	Bradi1g76340	Nin-like
Bradi1g76340.5.p	Bradi1g76340	Nin-like
Bradi1g76440.1.p	Bradi1g76440	bHLH
Bradi1g76690.1.p	Bradi1g76690	bZIP
Bradi1g76732.1.p	Bradi1g76732	NAC
Bradi1g76732.2.p	Bradi1g76732	NAC
Bradi1g77070.1.p	Bradi1g77070	bHLH
Bradi1g77217.1.p	Bradi1g77217	NAC
Bradi1g77610.2.p	Bradi1g77610	Trihelix
Bradi1g78230.1.p	Bradi1g78230	GRAS
Bradi1g78540.1.p	Bradi1g78540	GATA
Bradi2g00226.1.p	Bradi2g00226	NF-X1
Bradi2g00280.1.p	Bradi2g00280	WRKY
Bradi2g00720.1.p	Bradi2g00720	bHLH
Bradi2g00730.1.p	Bradi2g00730	bHLH
Bradi2g00740.1.p	Bradi2g00740	bHLH
Bradi2g00824.2.p	Bradi2g00824	BES1
Bradi2g01000.1.p	Bradi2g01000	bHLH
Bradi2g01000.2.p	Bradi2g01000	bHLH
Bradi2g03427.1.p	Bradi2g03427	bHLH
Bradi2g03427.2.p	Bradi2g03427	bHLH
Bradi2g03427.3.p	Bradi2g03427	bHLH
Bradi2g03448.1.p	Bradi2g03448	NAC
Bradi2g03467.1.p	Bradi2g03467	NAC
Bradi2g03830.2.p	Bradi2g03830	bHLH
Bradi2g03830.3.p	Bradi2g03830	bHLH
Bradi2g03830.4.p	Bradi2g03830	bHLH
Bradi2g04270.2.p	Bradi2g04270	LBD
Bradi2g04270.5.p	Bradi2g04270	LBD
Bradi2g04270.6.p	Bradi2g04270	LBD
Bradi2g04270.7.p	Bradi2g04270	LBD
Bradi2g04270.8.p	Bradi2g04270	LBD
Bradi2g04590.1.p	Bradi2g04590	bZIP
Bradi2g04713.1.p	Bradi2g04713	FAR1
Bradi2g04790.2.p	Bradi2g04790	BES1
Bradi2g05234.2.p	Bradi2g05234	WRKY
Bradi2g05280.1.p	Bradi2g05280	NF-YC
Bradi2g05500.1.p	Bradi2g05500	WRKY
Bradi2g05510.3.p	Bradi2g05510	WRKY
Bradi2g05700.10.p	Bradi2g05700	NAC
Bradi2g05700.2.p	Bradi2g05700	NAC
Bradi2g05700.3.p	Bradi2g05700	NAC
Bradi2g05700.4.p	Bradi2g05700	NAC
Bradi2g05700.5.p	Bradi2g05700	NAC
Bradi2g05700.6.p	Bradi2g05700	NAC
Bradi2g05700.7.p	Bradi2g05700	NAC
Bradi2g05700.8.p	Bradi2g05700	NAC
Bradi2g05700.9.p	Bradi2g05700	NAC
Bradi2g05794.1.p	Bradi2g05794	Dof
Bradi2g05890.2.p	Bradi2g05890	FAR1
Bradi2g05950.2.p	Bradi2g05950	bHLH
Bradi2g06400.1.p	Bradi2g06400	BES1
Bradi2g06790.2.p	Bradi2g06790	bZIP
Bradi2g06790.3.p	Bradi2g06790	bZIP
Bradi2g06890.2.p	Bradi2g06890	TCP
Bradi2g06890.3.p	Bradi2g06890	TCP
Bradi2g07050.1.p	Bradi2g07050	bHLH
Bradi2g07911.1.p	Bradi2g07911	FAR1
Bradi2g08080.1.p	Bradi2g08080	bHLH
Bradi2g08080.2.p	Bradi2g08080	bHLH
Bradi2g08177.1.p	Bradi2g08177	Nin-like
Bradi2g08177.2.p	Bradi2g08177	Nin-like
Bradi2g08366.1.p	Bradi2g08366	NAC
Bradi2g08480.1.p	Bradi2g08480	LBD
Bradi2g08600.1.p	Bradi2g08600	Nin-like
Bradi2g08620.1.p	Bradi2g08620	WRKY
Bradi2g08810.1.p	Bradi2g08810	GeBP
Bradi2g09530.1.p	Bradi2g09530	NAC
Bradi2g09720.1.p	Bradi2g09720	Dof
Bradi2g10640.1.p	Bradi2g10640	Dof
Bradi2g10640.2.p	Bradi2g10640	Dof
Bradi2g10830.1.p	Bradi2g10830	bZIP
Bradi2g10830.2.p	Bradi2g10830	bZIP
Bradi2g11100.1.p	Bradi2g11100	bHLH
Bradi2g11100.2.p	Bradi2g11100	bHLH
Bradi2g11170.2.p	Bradi2g11170	WRKY
Bradi2g11240.2.p	Bradi2g11240	SBP
Bradi2g11240.3.p	Bradi2g11240	SBP
Bradi2g11240.4.p	Bradi2g11240	SBP
Bradi2g11260.1.p	Bradi2g11260	bHLH
Bradi2g12030.2.p	Bradi2g12030	Trihelix
Bradi2g12030.3.p	Bradi2g12030	Trihelix
Bradi2g12490.1.p	Bradi2g12490	bHLH
Bradi2g12590.1.p	Bradi2g12590	GATA
Bradi2g12691.1.p	Bradi2g12691	FAR1
Bradi2g13051.1.p	Bradi2g13051	FAR1
Bradi2g13560.1.p	Bradi2g13560	GRAS
Bradi2g14890.1.p	Bradi2g14890	GATA
Bradi2g14927.1.p	Bradi2g14927	ZF-HD
Bradi2g15360.1.p	Bradi2g15360	WRKY
